09 0c cf - or [rdi + rcx * 8], ecx
09 0c d0 - or [rax + rdx * 8], ecx
09 0c d1 - or [rcx + rdx * 8], ecx
09 0c d2 - or [rdx + rdx * 8], ecx
09 0c d3 - or [rbx + rdx * 8], ecx
09 0c d4 - or [rsp + rdx * 8], ecx
09 0c d5 xx xx xx xx - or [rdx * 8 + x], ecx
09 0c d6 - or [rsi + rdx * 8], ecx
09 0c d7 - or [rdi + rdx * 8], ecx
09 0c d8 - or [rax + rbx * 8], ecx
09 0c d9 - or [rcx + rbx * 8], ecx
09 0c da - or [rdx + rbx * 8], ecx
09 0c db - or [rbx + rbx * 8], ecx
09 0c dc - or [rsp + rbx * 8], ecx
09 0c dd xx xx xx xx - or [rbx * 8 + x], ecx
09 0c de - or [rsi + rbx * 8], ecx
09 0c df - or [rdi + rbx * 8], ecx
09 0c e0 - or [rax], ecx
09 0c e1 - or [rcx], ecx
09 0c e2 - or [rdx], ecx
09 0c e3 - or [rbx], ecx
09 0c e4 - or [rsp], ecx
09 0c e5 xx xx xx xx - or [x], ecx
09 0c e6 - or [rsi], ecx
09 0c e7 - or [rdi], ecx
09 0c e8 - or [rax + rbp * 8], ecx
09 0c e9 - or [rcx + rbp * 8], ecx
09 0c ea - or [rdx + rbp * 8], ecx
09 0c eb - or [rbx + rbp * 8], ecx
09 0c ec - or [rsp + rbp * 8], ecx
09 0c ed xx xx xx xx - or [rbp * 8 + x], ecx
09 0c ee - or [rsi + rbp * 8], ecx
09 0c ef - or [rdi + rbp * 8], ecx
09 0c f0 - or [rax + rsi * 8], ecx
09 0c f1 - or [rcx + rsi * 8], ecx
09 0c f2 - or [rdx + rsi * 8], ecx
09 0c f3 - or [rbx + rsi * 8], ecx
09 0c f4 - or [rsp + rsi * 8], ecx
09 0c f5 xx xx xx xx - or [rsi * 8 + x], ecx
09 0c f6 - or [rsi + rsi * 8], ecx
09 0c f7 - or [rdi + rsi * 8], ecx
09 0c f8 - or [rax + rdi * 8], ecx
09 0c f9 - or [rcx + rdi * 8], ecx
09 0c fa - or [rdx + rdi * 8], ecx
09 0c fb - or [rbx + rdi * 8], ecx
09 0c fc - or [rsp + rdi * 8], ecx
09 0c fd xx xx xx xx - or [rdi * 8 + x], ecx
09 0c fe - or [rsi + rdi * 8], ecx
09 0c ff - or [rdi + rdi * 8], ecx
09 0d xx xx xx xx - or [rip + x], ecx
09 0e - or [rsi], ecx
09 0f - or [rdi], ecx

09 10 - or [rax], edx
09 11 - or [rcx], edx
09 12 - or [rdx], edx
09 13 - or [rbx], edx
09 14 00 - or [rax + rax], edx
09 14 01 - or [rcx + rax], edx
09 14 02 - or [rdx + rax], edx
09 14 03 - or [rbx + rax], edx
09 14 04 - or [rsp + rax], edx
09 14 05 xx xx xx xx - or [rax + x], edx
09 14 06 - or [rsi + rax], edx
09 14 07 - or [rdi + rax], edx
09 14 08 - or [rax + rcx], edx
09 14 09 - or [rcx + rcx], edx
09 14 0a - or [rdx + rcx], edx
09 14 0b - or [rbx + rcx], edx
09 14 0c - or [rsp + rcx], edx
09 14 0d xx xx xx xx - or [rcx + x], edx
09 14 0e - or [rsi + rcx], edx
09 14 0f - or [rdi + rcx], edx
09 14 10 - or [rax + rdx], edx
09 14 11 - or [rcx + rdx], edx
09 14 12 - or [rdx + rdx], edx
09 14 13 - or [rbx + rdx], edx
09 14 14 - or [rsp + rdx], edx
09 14 15 xx xx xx xx - or [rdx + x], edx
09 14 16 - or [rsi + rdx], edx
09 14 17 - or [rdi + rdx], edx
09 14 18 - or [rax + rbx], edx
09 14 19 - or [rcx + rbx], edx
09 14 1a - or [rdx + rbx], edx
09 14 1b - or [rbx + rbx], edx
09 14 1c - or [rsp + rbx], edx
09 14 1d xx xx xx xx - or [rbx + x], edx
09 14 1e - or [rsi + rbx], edx
09 14 1f - or [rdi + rbx], edx
09 14 20 - or [rax], edx
09 14 21 - or [rcx], edx
09 14 22 - or [rdx], edx
09 14 23 - or [rbx], edx
09 14 24 - or [rsp], edx
09 14 25 xx xx xx xx - or [x], edx
09 14 26 - or [rsi], edx
09 14 27 - or [rdi], edx
09 14 28 - or [rax + rbp], edx
09 14 29 - or [rcx + rbp], edx
09 14 2a - or [rdx + rbp], edx
09 14 2b - or [rbx + rbp], edx
09 14 2c - or [rsp + rbp], edx
09 14 2d xx xx xx xx - or [rbp + x], edx
09 14 2e - or [rsi + rbp], edx
09 14 2f - or [rdi + rbp], edx
09 14 30 - or [rax + rsi], edx
09 14 31 - or [rcx + rsi], edx
09 14 32 - or [rdx + rsi], edx
09 14 33 - or [rbx + rsi], edx
09 14 34 - or [rsp + rsi], edx
09 14 35 xx xx xx xx - or [rsi + x], edx
09 14 36 - or [rsi + rsi], edx
09 14 37 - or [rdi + rsi], edx
09 14 38 - or [rax + rdi], edx
09 14 39 - or [rcx + rdi], edx
09 14 3a - or [rdx + rdi], edx
09 14 3b - or [rbx + rdi], edx
09 14 3c - or [rsp + rdi], edx
09 14 3d xx xx xx xx - or [rdi + x], edx
09 14 3e - or [rsi + rdi], edx
09 14 3f - or [rdi + rdi], edx
09 14 40 - or [rax + rax * 2], edx
09 14 41 - or [rcx + rax * 2], edx
09 14 42 - or [rdx + rax * 2], edx
09 14 43 - or [rbx + rax * 2], edx
09 14 44 - or [rsp + rax * 2], edx
09 14 45 xx xx xx xx - or [rax * 2 + x], edx
09 14 46 - or [rsi + rax * 2], edx
09 14 47 - or [rdi + rax * 2], edx
09 14 48 - or [rax + rcx * 2], edx
09 14 49 - or [rcx + rcx * 2], edx
09 14 4a - or [rdx + rcx * 2], edx
09 14 4b - or [rbx + rcx * 2], edx
09 14 4c - or [rsp + rcx * 2], edx
09 14 4d xx xx xx xx - or [rcx * 2 + x], edx
09 14 4e - or [rsi + rcx * 2], edx
09 14 4f - or [rdi + rcx * 2], edx
09 14 50 - or [rax + rdx * 2], edx
09 14 51 - or [rcx + rdx * 2], edx
09 14 52 - or [rdx + rdx * 2], edx
09 14 53 - or [rbx + rdx * 2], edx
09 14 54 - or [rsp + rdx * 2], edx
09 14 55 xx xx xx xx - or [rdx * 2 + x], edx
09 14 56 - or [rsi + rdx * 2], edx
09 14 57 - or [rdi + rdx * 2], edx
09 14 58 - or [rax + rbx * 2], edx
09 14 59 - or [rcx + rbx * 2], edx
